MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",61.580080,175.804082,58.023864,38.148480,0.000000,0.271440,3.556216,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.102924,89.126356,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.535909,-nan,0.000000,0.000000,1.109055,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.023864,31.748438,5.534876,0.865165,0.000000,58.023864,28.017256,4.785846,5.345377,6,11
"Beatles/01_-_Please_Please_Me/02_-_Misery",94.655315,110.184490,90.730357,4.547295,0.695453,0.101938,3.924958,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.267220,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.183022,20.604316,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.730357,2.007534,1.875997,0.663764,0.000000,90.730357,0.948317,1.949975,1.649003,4,7
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",78.846780,177.580408,76.763166,20.958244,0.162144,0.032832,2.083614,-nan,0.000000,-nan,0.000000,0.000000,1.196858,90.735766,63.508937,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.787431,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.409737,28.390328,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.927743,15.001559,4.033475,0.758633,0.000000,76.763166,9.167785,1.400757,10.389701,8,13
"Beatles/01_-_Please_Please_Me/04_-_Chains",71.570217,146.494694,67.702726,27.395262,0.000000,1.034521,3.867491,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.260148,71.809188,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,16.707276,22.769059,-nan,0.000000,-nan,0.000000,-nan,0.000000,100.000000,0.519740,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.702726,12.550280,12.866165,1.471969,0.015487,67.702726,11.345651,1.563395,14.486215,7,13
"Beatles/01_-_Please_Please_Me/05_-_Boys",74.457852,147.513469,71.008312,23.811508,1.727250,0.003390,3.449540,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.547869,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.008312,12.881630,7.277987,3.215625,0.436265,71.008312,12.881630,6.291881,4.637997,3,12
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",71.619226,138.919232,68.622340,27.349161,0.699156,0.332457,2.996885,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.131438,47.810678,-nan,0.000000,0.000000,2.590782,-nan,0.000000,-nan,0.000000,54.392655,5.316064,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.268376,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.500350,12.354255,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.234641,24.330503,69.686543,18.197861,5.432759,2.406532,0.247807,68.622340,19.234174,3.515137,4.599851,14,14
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",82.189355,123.376327,78.701571,17.430603,0.283359,0.096683,3.487784,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.830108,88.106312,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.159316,-nan,0.000000,95.445343,4.149906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.662463,8.048679,3.779969,1.515654,0.125408,78.701571,11.719644,4.401824,1.309135,7,10
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",72.689528,142.759184,69.492678,26.502981,0.806402,0.001088,3.196851,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.788427,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.492678,5.554539,20.650097,0.130121,0.168225,69.492678,5.554539,20.013198,0.935244,3,5
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",92.132930,125.753469,88.680056,7.631095,0.143119,0.092856,3.452874,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.547338,83.076620,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.735076,2.123436,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.499866,11.254214,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.680056,1.242586,3.996863,2.240151,0.151496,88.680056,0.564847,5.094694,1.971553,8,9
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",90.259313,158.066939,86.348955,7.539238,2.118030,0.083419,3.910358,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.079516,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.844901,33.792221,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.348955,4.243948,3.065605,0.229684,0.000000,86.348955,3.197055,3.182437,1.159746,5,6
