MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",62.049122,175.804082,58.532530,37.639814,0.000000,0.311064,3.516593,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.673649,89.126356,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.535909,-nan,0.000000,0.000000,1.109055,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.532530,30.989050,5.765838,0.884926,0.000000,58.532530,27.376662,5.155528,5.107623,6,11
"Beatles/01_-_Please_Please_Me/02_-_Misery",94.765172,110.184490,90.738277,4.409502,0.825326,0.000000,4.026895,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.536172,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.237656,20.604316,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.738277,1.933009,2.170588,0.305906,0.000000,90.738277,0.842948,2.370927,1.195628,4,6
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",78.633072,177.580408,76.640988,21.080421,0.162144,0.124362,1.992084,-nan,0.000000,-nan,0.000000,0.000000,1.196858,91.164034,63.508937,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.787431,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.021356,28.390328,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.433201,16.075988,3.160200,0.052020,0.000000,76.640988,9.987078,1.153592,9.939751,8,9
"Beatles/01_-_Please_Please_Me/04_-_Chains",73.066172,146.494694,68.900839,26.177984,0.019165,0.736679,4.165333,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.447707,71.809188,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,21.377775,22.769059,-nan,0.000000,-nan,0.000000,-nan,0.000000,100.000000,0.519740,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.900839,10.007022,13.364361,2.141249,0.047188,68.900839,8.152165,3.145162,14.880658,7,10
"Beatles/01_-_Please_Please_Me/05_-_Boys",73.299338,147.513469,69.849799,25.001503,1.695768,0.003390,3.449540,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.347922,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.849799,12.985560,8.158239,3.389957,0.467747,69.849799,12.985560,7.261504,4.754440,3,11
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",70.895030,138.919232,67.820999,28.127361,0.722298,0.255311,3.074032,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.803920,47.810678,-nan,0.000000,0.000000,2.590782,-nan,0.000000,-nan,0.000000,54.758265,5.316064,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.268376,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.634862,12.354255,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.366582,24.330503,68.807167,18.272691,6.054216,2.697186,0.117100,67.820999,19.197540,3.649433,5.280388,14,14
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",79.315816,123.376327,75.731349,20.384584,0.299599,0.000000,3.584467,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.565734,88.106312,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.159316,-nan,0.000000,93.177770,4.149906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.579319,8.819491,5.460990,2.108498,0.147636,75.731349,12.189329,5.697027,2.498229,7,11
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",69.727158,142.759184,66.529219,29.483792,0.789050,0.000000,3.197939,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.727069,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.529219,5.463802,23.558994,0.292772,0.168225,66.529219,5.463802,22.994009,1.025982,3,5
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",94.051480,125.753469,90.505750,5.787469,0.161051,0.000000,3.545730,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.977108,83.076620,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.616764,2.123436,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.246800,11.254214,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.505750,1.024788,3.736644,0.963514,0.062522,90.505750,0.328585,4.360665,1.098218,8,9
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",89.286474,158.066939,85.292697,8.855194,1.858332,0.000000,3.993777,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.484411,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.814791,33.792221,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.292697,5.071231,3.388711,0.395252,0.000000,85.292697,3.400724,3.608372,1.846098,5,6
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",68.328111,116.532244,64.391922,30.843327,0.828562,0.000000,3.936189,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.933101,45.220725,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.887032,1.673766,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.013225,49.169320,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.391922,16.174181,7.383382,6.713759,0.572004,64.391922,14.065726,10.650360,6.127240,13,21
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",74.413733,117.977687,70.125594,25.395300,0.000000,0.190966,4.288139,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.386723,42.425111,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.408560,46.964950,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.130833,72.375308,14.817340,6.170005,2.158241,0.000000,70.125594,15.593609,1.188047,8.613644,7,8
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",82.806150,112.875102,77.847500,16.776760,0.289621,0.127469,4.958650,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.571982,68.861146,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.830011,5.799865,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.611399,20.252870,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.847500,6.289448,6.499814,3.987498,0.000000,77.847500,3.989665,6.145537,6.641558,9,13
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",61.546409,153.155918,60.789497,37.669623,0.031459,0.752509,0.756912,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.370650,94.371814,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,23.926212,4.118765,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.789497,24.861373,5.772129,7.036121,0.000000,60.789497,24.542992,8.277486,4.849144,5,8
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",58.715527,125.498415,54.925101,40.116880,1.167593,0.000000,3.790426,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.449957,65.681959,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.419989,2.667084,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,14.514623,5.014094,-nan,0.000000,-nan,0.000000,48.217210,2.941848,57.473905,17.055252,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.849336,54.925101,33.615347,5.175347,0.536783,0.012311,54.925101,32.776411,3.620455,3.720014,13,17
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",73.220328,121.392510,69.311328,26.299943,0.479729,0.000000,3.909001,-nan,0.000000,0.000000,2.955727,-nan,0.000000,80.972388,44.482969,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.429248,48.652304,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.267055,17.682566,3.452422,0.965909,0.000000,69.311328,14.862959,2.687283,8.749700,6,9
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",88.998776,123.367620,85.620308,10.107153,0.894071,0.000000,3.378468,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.109829,63.676814,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.183240,2.465649,-nan,0.000000,0.000000,0.433971,-nan,0.000000,94.580394,30.045097,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.054279,6.081049,2.571925,0.959910,0.060297,85.620308,3.979787,0.956407,5.170959,8,11
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",71.114246,149.394286,67.376290,28.287842,0.487724,0.110187,3.737956,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.727727,50.735422,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.629428,45.416434,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.827029,9.127090,14.020119,4.258709,0.431185,67.376290,7.095509,8.890949,12.301384,8,10
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",54.562919,108.016327,50.800814,44.076196,1.329928,0.030957,3.762105,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.190275,90.306409,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.887101,5.900528,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.800814,35.686691,6.006217,2.383288,0.000000,50.800814,35.686691,5.702661,2.686845,7,10
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",68.382012,123.016417,65.060819,30.658683,0.007971,0.951334,3.321193,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.575404,34.038206,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.731643,3.467810,-nan,0.000000,0.000000,1.594979,-nan,0.000000,-nan,0.000000,17.392792,24.717457,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.775675,30.342355,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.566667,65.060819,12.570754,10.758379,6.864821,0.464728,65.060819,12.556759,1.273120,16.828804,16,23
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",84.869834,156.734694,81.306976,10.248031,4.748253,0.133882,3.562858,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.944390,68.950351,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.522677,27.352909,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.306976,6.397770,3.050189,0.488961,0.000000,81.306976,4.757653,3.539149,1.951228,5,6
"Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",60.506992,167.627755,57.736993,38.978329,0.514678,0.000000,2.770000,-nan,0.000000,0.000000,0.858830,0.000000,0.322091,60.111969,96.049080,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.917914,4.851675,32.927686,0.018047,0.000000,57.736993,6.032596,26.480247,6.465486,5,5
"Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",64.313008,152.581224,61.701344,35.496624,0.190367,0.000000,2.611664,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.983482,81.112583,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.633910,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.234881,11.641843,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.701344,26.726598,6.732768,2.037258,0.000000,61.701344,22.773206,4.244919,8.478499,8,19
"Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me",84.137662,182.143129,81.674505,15.120798,0.013179,0.728361,2.463158,-nan,0.000000,0.000000,0.841381,-nan,0.000000,81.722408,62.942768,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.636558,4.315187,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.256958,28.709145,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.674505,10.429218,4.061265,0.630314,0.000000,81.674505,6.923634,3.323312,4.873852,7,8
"Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man",31.759135,118.987755,26.832153,67.957500,0.095582,0.187783,4.926982,-nan,0.000000,-nan,0.000000,-nan,0.000000,28.278534,94.885235,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,27.593222,59.367768,1.963002,4.870418,0.000000,26.832153,56.992764,2.251926,8.712809,5,13
"Beatles/02_-_With_the_Beatles/12_-_Devil_In_Her_Heart",78.392179,144.771973,75.126240,21.472022,0.000000,0.135800,3.265938,-nan,0.000000,-nan,0.000000,0.000000,2.085067,75.686942,69.216243,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.886647,25.296953,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.823936,13.090797,5.605229,2.078301,0.000000,75.126240,12.536980,4.687390,4.247651,7,8
"Beatles/02_-_With_the_Beatles/13_-_Not_A_Second_Time",67.037494,126.481996,62.825807,28.826524,1.206309,2.929673,4.211687,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.334334,37.999523,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.552861,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.226479,50.306255,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.825807,17.524700,7.362596,2.039144,0.337701,62.825807,15.368845,1.022185,12.435494,6,13
"Beatles/02_-_With_the_Beatles/14_-_Money",27.110870,167.444898,26.836425,72.055342,0.002900,0.830888,0.274444,-nan,0.000000,0.000000,0.492286,-nan,0.000000,38.875173,52.047279,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.782955,41.399536,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.577384,4.955567,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,26.836425,41.143613,24.048678,6.735482,0.127569,26.836425,50.403519,4.173882,17.477941,8,10
"Beatles/03_-_A_Hard_Day's_Night/01_-_A_Hard_Day's_Night",80.235733,148.511640,76.959684,19.120520,0.643747,0.000000,3.276049,-nan,0.000000,0.000000,0.677312,-nan,0.000000,79.336987,81.998495,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.329812,2.368719,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.607623,11.679426,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.636996,2.432844,13.384897,2.625467,0.000000,76.959684,2.052026,14.418699,2.649794,8,10
"Beatles/03_-_A_Hard_Day's_Night/02_-_I_Should_Have_Known_Better",67.058255,164.101224,64.431912,32.663847,0.277898,0.000000,2.626343,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.438922,79.472355,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,29.712610,3.391582,-nan,0.000000,-nan,0.000000,0.000000,2.776112,97.313052,11.733608,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.208024,5.994680,21.182711,2.458741,0.251602,64.431912,7.812545,22.019080,2.832222,8,8
"Beatles/03_-_A_Hard_Day's_Night/03_-_If_I_Fell",79.234499,137.607256,75.408302,20.427916,0.000000,0.337585,3.826197,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.731273,40.514555,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.653360,9.694157,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.326491,31.242355,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,31.142940,14.385150,75.408302,14.772874,2.295527,3.055511,0.304004,75.408302,14.646373,1.401309,4.380234,12,14
"Beatles/03_-_A_Hard_Day's_Night/04_-_I'm_Happy_Just_To_Dance_With_You",69.634146,108.312164,65.786842,30.229099,0.011534,0.125220,3.847304,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.226763,53.187669,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.133317,42.839807,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.786842,14.808814,12.285934,2.019576,0.000000,65.786842,3.538315,8.511760,18.179024,7,11
"Beatles/03_-_A_Hard_Day's_Night/05_-_And_I_Love_Her",88.958706,151.092245,86.499816,10.087261,0.000000,0.954033,2.458890,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.513209,39.663762,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.102367,56.923315,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.499816,6.659807,2.164086,1.263368,0.000000,86.499816,6.282071,1.981637,1.823553,12,14
"Beatles/03_-_A_Hard_Day's_Night/06_-_Tell_Me_Why",46.184647,129.509298,42.500200,52.535869,0.000000,1.279484,3.684446,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.471461,49.739017,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.214962,2.521632,-nan,0.000000,-nan,0.000000,-nan,0.000000,26.594863,42.775420,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.500200,40.698647,7.828493,3.341304,0.057832,42.500200,29.274280,4.128959,19.132629,9,13
"Beatles/03_-_A_Hard_Day's_Night/07_-_Can't_Buy_Me_Love",59.549481,134.948571,56.270936,39.565235,0.278903,0.606382,3.278545,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.315638,14.462849,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.080039,61.451767,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.899890,20.200457,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.270936,34.528243,2.638366,1.131743,0.251698,56.270936,34.737240,1.085898,3.742097,7,10
"Beatles/03_-_A_Hard_Day's_Night/08_-_Any_Time_At_All",60.832032,133.407347,56.978933,37.845288,0.643996,0.678683,3.853099,-nan,0.000000,0.000000,5.047539,0.000000,4.986620,83.505018,55.914663,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.279290,-nan,0.000000,0.000000,2.166961,-nan,0.000000,-nan,0.000000,17.236661,6.361639,0.000000,5.056240,62.713631,14.655266,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.007662,10.257880,4.876034,1.016511,1.666133,56.978933,29.088190,4.028480,4.728619,12,13
"Beatles/03_-_A_Hard_Day's_Night/09_-_I'll_Cry_Instead",71.738909,107.755102,67.674991,27.934744,0.043825,0.282521,4.063919,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.028758,59.790951,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,18.101947,28.837693,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.254221,7.024917,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.674991,24.465422,1.787859,1.532725,0.148739,67.674991,24.401826,0.526201,3.006717,8,10
"Beatles/03_-_A_Hard_Day's_Night/10_-_Things_We_Said_Today",79.764770,158.850612,76.517862,19.683898,0.000000,0.551332,3.246907,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.131088,30.423642,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.385502,6.607100,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.234148,59.171019,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.517862,2.440406,14.803977,2.439515,0.000000,76.517862,2.229165,14.618616,2.836117,10,11
"Beatles/03_-_A_Hard_Day's_Night/11_-_When_I_Get_Home",74.543359,138.370612,71.117940,24.884105,0.000000,0.572536,3.425419,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.955944,79.472772,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,57.297649,6.846642,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.545712,9.682630,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.117940,5.234032,14.513918,5.098808,0.037348,71.117940,6.436328,14.164329,4.283448,6,10
"Beatles/03_-_A_Hard_Day's_Night/12_-_You_Can't_Do_That",54.060207,157.648980,50.900614,45.754567,0.012643,0.172583,3.159593,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.898885,15.393774,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.745522,70.735525,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.374395,10.538526,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.900614,30.142031,8.860105,6.322688,0.429743,50.900614,34.206488,3.504009,8.044069,11,17
