MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",92.567124,175.804082,89.565638,6.606705,0.000000,0.826170,3.001486,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.640469,89.126356,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.535909,-nan,0.000000,0.000000,1.109055,-nan,0.000000,-nan,0.000000,48.543693,3.401023,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.565638,5.282675,1.211662,0.112368,0.000000,89.565638,3.618510,1.198492,1.789703,6,5
"Beatles/01_-_Please_Please_Me/02_-_Misery",97.081100,110.184490,93.366859,2.606246,0.000000,0.312655,3.714241,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.765459,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.182639,20.604316,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.366859,1.986559,0.420375,0.199312,0.000000,93.366859,0.000000,0.535590,2.070655,4,4
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",87.579550,177.580408,85.482860,11.911656,0.489038,0.019756,2.096690,-nan,0.000000,-nan,0.000000,0.000000,1.196858,96.659931,63.508937,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.999994,4.787431,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.439591,28.390328,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.765646,7.449816,2.124625,0.054429,0.000000,85.482860,7.983431,0.435468,3.492756,8,11
"Beatles/01_-_Please_Please_Me/04_-_Chains",83.548549,146.494694,80.045617,15.052371,0.000000,1.399080,3.502932,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.809664,71.809188,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.389283,22.769059,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.519740,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.045617,11.986394,2.715087,0.350889,0.000000,80.045617,11.986394,2.207512,0.858465,7,7
"Beatles/01_-_Please_Please_Me/05_-_Boys",89.274994,147.513469,86.234717,9.450852,0.861500,0.412654,3.040276,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.318834,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.234717,1.971014,5.149105,2.330733,0.000000,86.234717,1.971014,7.215644,0.264194,3,5
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",67.873674,138.919232,64.876789,31.529295,0.264574,0.332457,2.996885,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.718832,47.810678,-nan,0.000000,0.000000,2.590782,-nan,0.000000,-nan,0.000000,0.000000,5.316064,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.268376,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.612140,12.354255,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.234949,24.330503,64.876789,25.439408,3.561004,2.300705,0.228178,64.876789,26.701370,0.893448,3.934477,14,12
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",92.296627,123.376327,88.790022,7.549176,0.076335,0.077862,3.506605,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.821058,88.106312,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,30.461086,4.159316,-nan,0.000000,95.898858,4.149906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.051072,0.293334,4.385286,0.609506,0.000000,88.790022,2.261050,4.363499,0.924628,7,8
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",92.273740,142.759184,89.076889,7.341663,0.383509,0.001088,3.196851,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.019620,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.076889,0.000000,7.110936,0.230727,0.000000,89.076889,0.000000,7.341663,-0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",91.895437,125.753469,91.581538,4.872733,0.000000,3.231830,0.313899,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.904332,83.076620,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.123436,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.422637,11.254214,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.581538,1.964382,1.157513,1.591784,0.159054,91.581538,1.964382,2.015732,0.892618,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",98.017005,158.066939,94.500598,1.505625,0.000000,0.477370,3.516407,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.077836,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.083309,33.792221,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.500598,0.735091,0.599611,0.170924,0.000000,94.500598,0.000000,0.721797,0.783828,5,5
