MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",36.174259,175.804082,34.678469,61.493875,0.000000,2.331866,1.495790,-nan,0.000000,-nan,0.000000,-nan,0.000000,37.664968,89.126356,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.535909,-nan,0.000000,100.000000,1.109055,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,35.616265,48.632009,4.687086,3.855773,0.000000,34.678469,50.566948,2.032344,8.894583,6,24
"Beatles/01_-_Please_Please_Me/02_-_Misery",75.834669,110.184490,75.513295,20.459810,0.000000,3.705521,0.321374,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.070844,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.890015,20.604316,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.513295,10.417536,1.825666,1.684035,0.716231,75.513295,13.918987,0.832651,5.708172,4,10
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",51.510762,177.580408,50.938698,46.944855,0.000000,1.544383,0.572064,-nan,0.000000,-nan,0.000000,0.000000,1.196858,66.175938,63.508937,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,10.167944,4.787431,-nan,0.000000,-nan,0.000000,-nan,0.000000,29.673066,28.390328,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.296256,18.730012,3.999905,2.075338,0.514645,50.938698,25.510011,1.477471,19.957373,8,27
"Beatles/01_-_Please_Please_Me/04_-_Chains",55.316195,146.494694,54.793133,40.304855,0.000000,4.378950,0.523062,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.628109,71.809188,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.130444,22.769059,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.519740,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,54.793133,15.389142,10.510931,2.255471,0.166429,54.793133,21.014935,0.277698,19.012222,7,21
"Beatles/01_-_Please_Please_Me/05_-_Boys",43.255348,147.513469,42.297121,54.249949,0.000000,2.494703,0.958227,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.809844,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.297121,31.047857,7.760142,4.987689,4.881981,42.297121,34.858247,4.008371,15.383331,3,22
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",71.999921,138.919232,71.730397,24.940261,0.000000,3.059818,0.269525,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.807846,47.810678,-nan,0.000000,0.000000,2.590782,-nan,0.000000,-nan,0.000000,59.020901,5.316064,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.268376,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.971355,12.354255,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.173078,24.330503,72.833568,13.954369,2.380342,1.797122,0.857990,71.730397,15.873743,1.461782,7.604736,14,19
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",49.073008,123.376327,48.520158,47.895375,0.000000,3.031617,0.552850,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.204686,88.106312,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.159316,-nan,0.000000,60.833553,4.149906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.531508,29.991350,5.676617,2.518662,0.427675,48.520158,38.935442,2.906910,6.053023,7,15
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",41.595794,142.759184,41.333519,55.468543,0.000000,2.935663,0.262275,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.699007,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.333519,25.698060,9.241597,9.528089,0.395937,41.333519,33.841312,8.275102,13.352129,3,12
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",78.893450,125.753469,78.602632,17.851638,0.000000,3.254911,0.290818,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.131004,83.076620,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.086925,2.123436,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.258631,11.254214,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.602632,5.577575,1.409240,2.005562,0.107010,78.602632,12.342035,2.277938,3.231665,8,16
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",72.426683,158.066939,71.965785,24.040438,0.000000,3.532880,0.460897,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.397814,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.265010,33.792221,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.965785,12.371877,6.798842,1.201899,1.317428,71.965785,15.658518,3.774702,4.607218,5,17
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",49.599517,116.532244,49.278214,46.785597,0.000000,3.614886,0.321303,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.981992,45.220725,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.592172,1.673766,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.910500,49.169320,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.278214,31.781529,8.841932,1.883037,1.688748,49.278214,26.721812,3.375132,16.688653,13,24
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",73.340732,117.977687,73.028286,22.492609,0.000000,4.166659,0.312446,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.733146,42.425111,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.527036,46.964950,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.960944,6.130833,73.028286,12.647570,4.704057,4.138815,0.175538,73.028286,11.177318,3.990467,7.324824,7,14
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",63.554854,112.875102,62.848816,32.007392,0.057673,4.380080,0.706039,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.223829,68.861146,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.214103,5.799865,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.915472,20.252870,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.848816,14.971411,8.043996,5.333871,0.284409,62.848816,14.151631,1.736074,16.119686,9,17
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",47.014227,153.155918,46.561293,50.443509,1.485777,1.056487,0.452934,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.338135,94.371814,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.118765,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.864512,41.876025,3.801241,4.249632,0.213392,46.561293,42.179244,2.431444,5.832821,5,12
