MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",69.115625,197.812000,67.020201,28.978020,1.419530,0.486826,2.095424,59.029574,64.887873,88.279356,32.529877,67.020201,12.982023,11.035225,4.960771,67.020201,10.514023,10.305745,8.158251,15,19
"N002-M01-T02",54.422424,209.704000,49.587991,23.475470,19.643402,2.458704,4.834433,64.097297,60.126655,33.911478,32.580208,49.587991,7.789074,12.470435,3.215962,49.587991,3.143478,11.598730,8.733262,6,11
"N003-M01-T03",65.768713,192.289000,61.583346,32.565045,1.489425,0.176817,4.185367,59.043655,54.226711,71.396099,41.411105,61.583346,8.100307,12.699634,11.765104,61.583346,3.661676,19.808725,9.094644,20,24
"N004-M01-T04",69.900952,192.634000,67.497430,22.182481,7.548512,0.368055,2.403522,57.611219,32.206153,75.271247,65.022270,67.497430,4.908791,12.786943,4.486747,67.497430,2.995837,13.182512,6.004132,12,12
"N005-M01-T05",74.867665,206.861000,73.169423,23.353846,0.746395,1.032094,1.698242,80.156187,47.974244,70.422563,49.295421,73.169423,9.510251,6.036421,7.807175,73.169423,7.784454,10.214589,5.354803,10,13
"N006-M01-T06",67.213043,206.573000,63.172825,28.320255,4.315666,0.151036,4.040218,68.860528,90.086797,19.898477,5.721948,63.172825,5.326930,12.646377,10.346948,63.172825,3.133033,21.405508,3.781714,7,9
"N007-M01-T07",71.832385,284.962000,69.776321,22.401232,5.218240,0.548143,2.056064,62.576744,37.838729,77.401526,59.557064,69.776321,9.642689,5.910613,6.847931,69.776321,4.545167,9.133148,8.722917,14,16
"N008-M01-T08",80.461575,178.996000,77.370444,14.526023,5.012403,0.000000,3.091131,80.422093,71.208295,78.220986,25.700574,77.370444,3.835840,6.953787,3.736396,77.370444,3.211804,4.718541,6.595678,8,11
"N009-M01-T09",89.527488,265.877000,83.452499,9.885774,0.586737,0.000000,6.074990,88.510621,47.008579,89.190316,46.916431,83.452499,3.565182,4.260617,2.059975,83.452499,1.711318,4.219244,3.955212,15,14
"N010-M01-T10",80.096476,211.867000,72.669647,11.555363,8.348162,0.000000,7.426829,83.801200,62.916830,67.252355,29.656341,72.669647,4.376802,3.364847,3.813713,72.669647,2.892853,5.286807,3.375703,8,11
"N011-M01-T11",45.931939,263.971000,43.425982,24.460263,29.607798,0.000000,2.505957,27.408680,66.166359,80.729419,31.327684,43.425982,17.672017,5.568036,1.220210,43.425982,13.218497,3.813677,7.428089,7,10
"N012-M01-T12",63.178641,193.825000,61.454921,28.429253,8.392106,0.000000,1.723720,58.796172,57.574616,67.818481,40.701664,61.454921,11.007868,14.478524,2.942861,61.454921,8.822391,9.042177,10.564685,12,14
"N013-M01-T13",80.113655,215.565000,77.782571,19.434973,0.142880,0.308492,2.331083,82.021625,71.433210,74.022186,25.927215,77.782571,5.134414,7.276228,7.024331,77.782571,3.893489,11.730105,3.811379,8,14
"N014-M01-T14",69.631874,234.947000,67.599076,20.522501,7.039460,2.806165,2.032799,74.541894,63.690109,63.942386,31.470927,67.599076,7.200347,9.964375,3.357779,67.599076,3.936633,9.786462,6.799406,6,11
"N015-M01-T15",43.911034,162.893000,39.614962,42.745238,12.488566,0.855163,4.296072,46.073699,77.067768,23.097638,17.780997,39.614962,24.352182,10.166797,8.226259,39.614962,18.771832,12.687470,11.285936,10,12
"N016-M01-T16",46.166464,262.147000,44.634117,40.704261,10.187414,2.941861,1.532346,23.890303,48.572747,70.346749,46.953045,44.634117,22.830702,12.814184,5.059375,44.634117,16.076095,8.576486,16.051681,11,14
"N017-M02-T01",68.032223,241.440000,65.952618,20.384361,11.187459,0.395958,2.079606,58.234140,48.748757,77.014198,48.775679,65.952618,7.628396,10.631213,2.124751,65.952618,3.086481,8.572730,8.725149,12,14
"N018-M02-T02",69.499826,249.333000,67.167202,29.690414,0.809760,0.000000,2.332623,67.527801,75.124833,72.915703,22.542544,67.167202,5.575676,16.081305,8.033433,67.167202,3.576743,21.644548,4.469124,16,18
"N019-M02-T03",44.698325,287.230000,42.473976,43.915329,11.153431,0.232914,2.224350,28.294512,56.917453,64.908988,40.625283,42.473976,24.969188,11.340737,7.605403,42.473976,19.541831,11.105734,13.267765,13,16
"N020-M02-T04",69.990732,226.580000,67.798129,26.467032,3.542237,0.000000,2.192603,64.798849,64.089505,77.907799,33.717892,67.798129,9.851267,8.513108,7.763704,67.798129,3.627858,10.090476,12.748698,10,18
"N021-M02-T05",69.802281,257.993000,67.550282,24.669274,3.359781,2.168663,2.251999,76.934511,63.625757,58.209806,31.953580,67.550282,9.464210,9.170404,6.034660,67.550282,2.688057,12.387545,9.593671,7,11
"N022-M02-T06",77.053265,209.520000,73.117125,20.375620,1.615598,0.955517,3.936140,80.607938,85.495418,43.701902,9.612925,73.117125,3.032646,11.090111,6.252864,73.117125,2.216972,13.544292,4.614357,16,19
"N023-M02-T07",67.330891,201.187000,65.000721,29.160433,3.508676,0.000000,2.330170,63.608041,86.789902,90.031523,10.879928,65.000721,19.795017,4.187646,5.177770,65.000721,19.062862,7.225119,2.872452,11,16
"N024-M02-T08",69.007298,207.736000,67.046636,20.829322,10.163380,0.000000,1.960662,71.843320,83.003427,49.310069,15.035911,67.046636,2.238899,11.822217,6.768206,67.046636,0.739400,15.687700,4.402222,7,10
"N025-M02-T09",24.747342,231.439000,22.665152,33.941125,41.311533,0.000000,2.082190,7.187196,23.109329,28.077350,74.808481,22.665152,3.794952,28.973509,1.172663,22.665152,2.927337,26.083763,4.930025,11,10
"N026-M02-T10",70.324186,199.762000,67.653508,28.756220,0.919594,0.000000,2.670678,74.131405,91.261601,0.000000,6.067721,67.653508,4.994443,22.280013,1.481763,67.653508,4.994443,22.688499,1.073277,6,7
"N027-M02-T11",63.747297,291.330000,55.686678,23.518004,12.704150,0.030550,8.060619,65.768089,65.346858,47.847718,26.561974,55.686678,10.776439,8.749528,3.992037,55.686678,6.880514,9.168984,7.468507,10,13
"N028-M02-T12",37.248920,217.660000,33.727373,35.610126,27.140954,0.000000,3.521547,29.150526,58.946522,44.080204,37.531931,33.727373,21.539098,8.435634,5.635395,33.727373,17.506202,11.024534,7.079390,10,13
"N029-M02-T13",60.115291,206.954000,57.654841,9.988693,29.896016,0.000000,2.460450,50.507201,52.206771,69.015541,45.332779,57.654841,5.917257,3.039323,1.032113,57.654841,4.516463,2.848459,2.623771,8,11
"N030-M02-T14",29.807273,151.406000,25.872158,23.104765,47.087962,0.000000,3.935115,40.090477,37.667596,18.444417,58.397289,25.872158,9.301481,1.818950,11.984334,25.872158,0.918722,3.832081,18.353962,6,9
"N031-M02-T15",11.805542,250.213000,11.782361,78.917962,9.276496,0.000000,0.023180,10.577512,98.483692,91.434690,1.493128,11.782361,47.717345,31.200617,0.000000,11.782361,47.717345,4.699596,26.501021,3,5
"N032-M02-T16",79.287528,252.080000,78.742463,20.048794,0.235639,0.428039,0.545065,89.761721,83.925341,22.578018,15.101555,78.742463,10.765233,6.772056,2.511504,78.742463,10.029356,7.520232,2.499207,9,11
"N033-M03-T01",56.713459,287.013000,52.880532,42.753813,0.416706,0.116023,3.832927,36.715633,57.895984,82.881929,38.155066,52.880532,19.806768,1.306213,21.640832,52.880532,6.550923,4.017240,32.185650,8,9
"N034-M03-T02",72.552495,207.640000,69.876228,25.797053,1.650453,0.000000,2.676267,80.413288,41.694279,65.340363,55.629455,69.876228,6.947120,11.077827,7.772106,69.876228,4.928241,15.331824,5.536987,13,17
"N035-M03-T03",72.969482,174.980000,70.024003,26.609327,0.421191,0.000000,2.945479,79.551746,57.805463,61.246687,39.249057,70.024003,16.017259,8.182078,2.409990,70.024003,9.910847,8.180363,8.518116,9,12
"N036-M03-T04",70.193801,316.253000,67.610110,26.248921,3.557279,0.000000,2.583691,67.656615,73.379857,74.735582,24.036452,67.610110,5.779866,6.395829,14.073226,67.610110,3.242973,16.555100,6.450848,10,13
"N037-M03-T05",68.616742,234.179000,67.089705,26.787201,4.596057,0.000000,1.527037,71.097157,53.858800,64.548178,44.614163,67.089705,10.479163,4.397064,11.910974,67.089705,6.416459,8.301769,12.068973,10,13
"N038-M03-T06",69.219183,273.534000,65.291700,25.751095,3.655121,1.374601,3.927483,79.979765,54.199844,54.182314,40.498073,65.291700,14.408812,1.691197,9.651085,65.291700,14.408812,7.226158,4.116125,9,13
"N039-M03-T07",79.638011,283.931000,78.428914,13.839630,6.522359,0.000000,1.209097,79.948094,64.188835,78.351281,34.602069,78.428914,5.605235,4.615910,3.618485,78.428914,3.474436,7.116518,3.248677,15,18
"N040-M03-T08",58.237290,224.291000,56.043711,37.758537,4.004173,0.000000,2.193579,55.940525,89.897499,72.760584,7.908922,56.043711,2.352747,31.211239,4.194551,56.043711,1.783843,34.300975,1.673719,10,14
"N041-M03-T09",86.534385,57.554000,80.380165,13.465615,0.000000,0.000000,6.154220,86.209459,77.144942,83.073242,16.700837,80.380165,0.889599,9.226118,3.349897,80.380165,0.222400,10.621330,2.621886,4,7
"N042-M03-T10",47.398273,246.836000,45.010047,35.017988,17.441945,0.141795,2.388225,48.182567,80.170234,36.890544,17.299746,45.010047,9.428933,7.654475,17.934580,45.010047,6.719846,21.255003,7.043138,13,15
"N043-M03-T11",79.189476,202.585000,75.484365,20.709332,0.101192,0.000000,3.705111,82.784888,87.933460,32.156562,8.361429,75.484365,4.815263,7.487721,8.406348,75.484365,4.258459,14.503048,1.947824,11,10
"N044-M03-T12",77.039812,240.255000,75.129342,19.396475,2.335435,1.228278,1.910470,82.039168,60.613931,70.080151,36.247321,75.129342,8.111798,7.932405,3.352272,75.129342,3.730203,8.590872,7.075399,6,11
"N045-M03-T13",68.524004,217.067000,66.131195,30.711716,0.764280,0.000000,2.392810,71.360412,72.610761,57.271605,24.996430,66.131195,10.734934,13.371908,6.604873,66.131195,9.773019,15.799730,5.138966,9,13
"N046-M03-T14",76.288861,194.280000,73.692609,22.895820,0.288758,0.526560,2.596253,81.403183,64.326230,65.524984,32.550957,73.692609,7.086164,11.536957,4.272699,73.692609,4.087400,13.554663,5.253757,11,12
"N047-M03-T15",81.465855,208.097000,78.581142,18.398151,0.034599,0.101395,2.884712,80.363768,81.084302,84.237835,15.929591,78.581142,3.898182,8.215400,6.284569,78.581142,3.158623,10.864645,4.374883,7,10
"N048-M03-T16",70.171180,265.277000,68.909480,29.659940,0.000000,0.168880,1.261700,75.820428,73.389325,52.682007,25.180095,68.909480,11.771469,12.185376,5.656352,68.909480,6.233107,14.099979,9.326855,10,15
"N049-M04-T01",51.179798,251.060000,48.050665,30.556441,17.809687,0.454075,3.129132,53.562341,57.918426,44.230968,38.498367,48.050665,11.608380,13.712658,5.235402,48.050665,6.340317,13.839720,10.376404,13,16
"N050-M04-T02",70.429459,193.243000,67.707498,26.384914,2.150660,1.034966,2.721961,79.509308,73.695296,40.415863,22.547777,67.707498,6.969463,13.648101,5.767350,67.707498,5.134985,16.061643,5.188286,10,16
"N051-M04-T03",84.484657,353.231000,83.312054,14.332547,1.182795,0.000000,1.172604,86.772062,73.975104,76.943932,24.852292,83.312054,3.784775,6.286821,4.260951,83.312054,0.789851,8.609946,4.932749,7,15
"N052-M04-T04",51.957191,215.002000,49.625120,16.179384,31.863425,0.000000,2.332071,30.664834,48.733500,70.872541,48.934429,49.625120,5.728784,6.919471,3.531130,49.625120,5.373903,5.939945,4.865536,8,10
"N053-M04-T05",64.121161,219.773000,62.585941,29.086831,6.792008,0.000000,1.535220,58.193178,62.847120,73.034569,35.617660,62.585941,15.100581,11.065509,2.920741,62.585941,14.032661,6.809299,8.244871,13,19
"N054-M04-T06",70.524403,222.920000,68.791495,19.290328,10.185268,0.000000,1.732909,66.947723,67.567737,76.732666,30.699354,68.791495,6.260990,8.147317,4.882020,68.791495,2.299928,11.029069,5.961331,8,11
"N055-M04-T07",79.722437,234.974000,78.299727,18.222867,1.772962,0.281733,1.422711,80.589445,73.080851,76.956184,25.214705,78.299727,5.063965,9.524032,3.634870,78.299727,1.866589,11.993667,4.362610,9,15
"N056-M04-T08",89.610478,322.960000,87.879923,7.398749,2.990773,0.000000,1.730555,89.389724,92.255078,90.007208,6.014367,87.879923,0.467241,3.838246,3.093262,87.879923,0.371563,6.702068,0.325118,5,5
"N057-M04-T09",74.081054,252.572000,72.039260,22.723026,3.135344,0.060577,2.041794,72.252456,74.061258,77.730716,23.836371,72.039260,4.142581,6.970686,11.609759,72.039260,3.104065,15.154095,4.464865,9,13
"N058-M04-T10",55.616997,179.393000,49.217639,39.133077,4.636747,0.613179,6.399358,34.805642,59.555836,85.215260,33.431628,49.217639,4.751022,26.599700,7.310765,49.217639,4.305631,23.117959,11.709487,10,15
